avg_run_time,id,instance_num,task_num,machine_num,start_timestamp,end_timestamp,Terminated_rate,waiting_rate,Running_rate,Interupted_rate,Failed_rate,Ready_rate,real_cpu_max_max,real_cpu_max_mean,real_cpu_mean_mean,real_mem_max_max,real_mem_max_mean,real_mem_mean_mean,cpu_mem_corr
116.38162544169612,1.0,283.0,1.0,203.0,366.0,550.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9792226148409896,0.7750883392226148,0.07149845986591774,0.033268451082529876,0.03154799367318024,0.0
13.169303093831395,2.0,15741.0,2.0,1291.0,2867.0,2954.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9243408932088014,0.38282002414078764,0.022342983148013622,0.022342983148008765,0.01828878364432255,0.0
17.462677085318596,3.0,15741.0,2.0,1291.0,6463.0,6533.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9262689790991516,0.3352366431611857,0.022342983148013622,0.022342983148008765,0.01828878364432255,0.0
0.0,4.0,845.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5008205221850113,1.5008205221849995,0.6611820233448987,0.022342983148013622,0.02234298314801349,0.018288783644321065,0.0
98.57869822485208,5.0,845.0,2.0,700.0,6074.0,6386.0,1.0,0.0,0.0,0.0,0.0,0.0,2.03,1.5665088757396501,0.842650887573963,0.022342983148013622,0.02234298314801349,0.018288783644321065,0.0
175.5,6.0,2.0,1.0,2.0,6410.0,6592.0,1.0,0.0,0.0,0.0,0.0,0.0,0.79,0.78,0.315,0.022342983148013622,0.022342983148013622,0.018288783644321,0.0
178.51587895637297,7.0,18713.0,10.0,1292.0,6626.0,12370.0,0.999519050927163,0.0,0.0,0.0,5.343878587078502e-05,0.0,3.0,1.3966182538715775,0.8542986500406253,0.022342983148013622,0.02234298314800857,0.018288783644322595,0.0
20.994155390381806,8.0,15746.0,2.0,1268.0,7983.0,8070.0,0.9996824590372158,0.0,0.0,0.0,0.00031754096278419915,0.0,3.0,0.9650942526743651,0.3766426972003701,0.022342983148013622,0.022342983148008765,0.01828878364432255,0.0
61.407407407407405,9.0,135.0,6.0,123.0,7275.0,7364.0,1.0,0.0,0.0,0.0,0.0,0.0,8.13,3.0801481481481483,0.6197777777777775,0.06311184738436051,0.026132331694933623,0.02287125476108986,0.0
172.79245283018867,10.0,106.0,8.0,106.0,8077.0,8263.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0358490566037735,0.13339622641509433,0.04062330132270338,0.013662676692963149,0.013465269939815845,0.0
16.432882281938884,11.0,15741.0,2.0,1290.0,9668.0,9779.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9345632424877496,0.35623912076742437,0.022342983148013622,0.022342983148008765,0.01828878364432255,0.0
54.506152584085314,12.0,1219.0,12.0,875.0,8514.0,8570.0,0.05004101722723544,0.0,0.9491386382280558,0.0,0.0008203445447087777,0.0,8.09,1.7778829730664965,0.6784639877030588,0.06294618590324334,0.02265232137304911,0.018389945190681718,0.0
58.15996718621821,13.0,1220.0,12.0,866.0,8598.0,14098.0,0.9991803278688525,0.0,0.0,0.0,0.0,0.0,2.19,1.38672198403459,0.803074739363403,0.022342983148013622,0.022342983148013845,0.018288783644320565,0.0
199.0,14.0,1.0,1.0,1.0,14125.0,14324.0,1.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.64,0.022342983148013622,0.022342983148013622,0.018288783644321,0.0
280.3268608414239,15.0,4647.0,4.0,1292.0,10721.0,12813.0,0.9974176888315042,0.0,0.0,0.0,0.0017215407789972026,0.0,3.0,1.5927221532744034,0.7190110144781755,0.022342983148013622,0.022342983148011704,0.018288783644321842,0.0
190.23744292237444,16.0,1533.0,7.0,1098.0,10735.0,11217.0,1.0,0.0,0.0,0.0,0.0,0.0,8.07,5.582622309197662,0.6475212002609209,0.08840110786115497,0.03192118368667339,0.023104893492442796,0.0
84.02222222222223,17.0,135.0,6.0,97.0,10869.0,10985.0,1.0,0.0,0.0,0.0,0.0,0.0,8.1,3.0977777777777766,0.4288148148148146,0.07240959801206223,0.03085326208355745,0.02729154023953806,0.0
221.36789900811542,18.0,4478.0,11.0,1292.0,11795.0,14247.0,0.9906208128628852,0.0,0.0,0.0,0.008709245198749441,0.0,3.0,1.7360907686314737,0.8020276116526162,0.022342983148013622,0.022342983148011863,0.018288783644321804,0.0
149.375,19.0,8.0,1.0,8.0,14349.0,14507.0,1.0,0.0,0.0,0.0,0.0,0.0,0.91,0.6587500000000001,0.12125,0.022342983148013622,0.02234298314801362,0.018288783644321,0.0
233.77972350230414,20.0,1091.0,1.0,1082.0,12558.0,12946.0,0.9945004582951421,0.0,0.0,0.0,0.005499541704857928,0.0,5.41,3.798272156858946,0.7898415143355293,0.022342983148013622,0.02234298314801375,0.018288783644320714,0.0
125.27735773975328,21.0,2515.0,4.0,1124.0,13006.0,14333.0,0.9992047713717693,0.0,0.0,0.0,0.00039761431411530816,0.0,2.04,1.6193366365981599,0.8484661487263297,0.022342983148013622,0.02234298314801425,0.018288783644320992,0.0
79.12468193384224,22.0,393.0,8.0,340.0,12985.0,13124.0,1.0,0.0,0.0,0.0,0.0,0.0,7.82,3.6687786259541952,0.430865139949109,0.05001423653353351,0.014883898977847844,0.013244408842682121,0.0
49.309242871189774,23.0,2035.0,12.0,1057.0,14230.0,14862.0,0.9995085995085995,0.0,0.0,0.0,0.0004914004914004914,0.0,2.04,1.4295384867430825,0.7550620059082813,0.022342983148013622,0.02234298314801416,0.018288783644320555,0.0
