id,instance_num,memory_minus_cpu,avg_cpu_usage,avg_memory_usage,task_num,job_num,start_timestamp,end_timestamp,Terminated_rate,waiting_rate,Running_rate,Interupted_rate,Failed_rate,Ready_rate,real_cpu_max_max,real_cpu_max_mean,real_cpu_mean_mean,real_mem_max_max,real_mem_max_mean,real_mem_mean_mean,avg_run_time,failed_num,failed_rate
1.0,11854.0,27.82055546177737,27.681666710639448,55.50222217241683,5346.0,3562.0,-846.0,86029.0,0.921039311624768,0.0,0.0638603003205669,0.0,0.015016028344862493,0.0,15.0,1.392807491142214,0.6041783364265205,0.1426086506354671,0.0030404153912027237,0.002470995101878686,115.21095352016404,142.0,0.011979078791968956
2.0,11711.0,22.10194435649458,33.163472207387215,55.26541656388182,5326.0,3599.0,-845.0,86037.0,0.9260524293399368,0.0,0.0578942874220818,0.0,0.015967893433524036,0.0,12.39,1.3835462385791093,0.5940765092647939,0.12474309528123625,0.0032279229244699293,0.002653116238395858,118.44273223097568,150.0,0.012808470668602169
3.0,11626.0,22.79166667063709,31.751249971655852,54.542916642292894,5274.0,3528.0,-846.0,86115.0,0.9249096851883709,0.0,0.06029588852571822,0.0,0.014536383966970583,0.0,13.21,1.4146026148288249,0.6121563736452752,0.12919524758626044,0.00310176133814892,0.002526163924616454,122.57913982239248,136.0,0.011697918458627214
4.0,11469.0,23.161388899219375,31.25496528811065,54.41635418733003,5132.0,3455.0,-845.0,86029.0,0.9203941058505537,0.0,0.06321388089632923,0.0,0.01613043857354608,0.0,15.33,1.3535251547650144,0.5782221640945141,0.1847746745010742,0.0030833380260326037,0.002497003956675029,130.6437472381794,144.0,0.012555584619408842
5.0,11620.0,22.23135411871806,32.02274305820451,54.25409717692255,5310.0,3527.0,-846.0,86115.0,0.921342512908778,0.0,0.06359724612736661,0.0,0.014974182444061962,0.0,12.94,1.3260628227194378,0.5800017211703926,0.13200113892268267,0.003044006103064484,0.002515742719130236,124.44291441519958,149.0,0.012822719449225473
6.0,11849.0,22.87509387580559,31.779906121778424,54.65499999758403,5315.0,3548.0,-845.0,86029.0,0.9238754325259516,0.0,0.060511435564182633,0.0,0.015359945987003123,0.0,13.37,1.3998354291501351,0.6119098658114577,0.10275153366293066,0.0029781457572127406,0.0024335667556561326,116.58273565573771,133.0,0.011224575913579204
7.0,11063.0,14.196388838026252,39.036111089918755,53.23249992794502,5077.0,3401.0,-846.0,86030.0,0.9162071770767423,0.0,0.06571454397541354,0.0,0.017897496158365722,0.0,13.53,1.3496773027207716,0.5803145620536934,0.19145807987989544,0.0031860508742741654,0.002592384863905379,130.44798165137615,142.0,0.012835578052969357
8.0,10984.0,14.713472239181108,38.61333332061403,53.32680555979514,5062.0,3404.0,-845.0,86031.0,0.9166059723233795,0.0,0.06536780772032047,0.0,0.017844136926438457,0.0,13.32,1.3499517479970864,0.5732365258557928,0.10324334118499727,0.0032512531458139078,0.002653933331849008,130.73423923091144,146.0,0.013292061179898033
9.0,11906.0,17.208159735465422,28.283854115012065,45.4920138504775,5294.0,3507.0,-846.0,86114.0,0.9297833025365362,0.0,0.05971778934990761,0.0,0.01041491684864774,0.0,12.79,1.3940886947757534,0.6057735595498045,0.14823596407216627,0.0031185585110092536,0.0025470791878376663,116.74075014816697,107.0,0.008987065345204099
10.0,12170.0,21.094062484634147,27.113680564033434,48.20774304866762,5458.0,3607.0,-846.0,86114.0,0.9299917830731307,0.0,0.05866885784716516,0.0,0.011010682004930156,0.0,12.55,1.4225686113393736,0.6224050944946579,0.1142908912069992,0.0030631158374847403,0.002505771980098587,112.18477090065457,112.0,0.009202958093672966
11.0,11640.0,22.464166576332776,33.09819445742542,55.562361033758194,5311.0,3506.0,-845.0,86115.0,0.9234536082474227,0.0,0.06262886597938144,0.0,0.013917525773195877,0.0,13.39,1.374481099656349,0.6009304123711342,0.15266223177076593,0.0030777299609338117,0.0025336795644056585,119.90106928627314,121.0,0.010395189003436426
12.0,11392.0,19.49281679923589,29.859248852169305,49.35206565140519,5362.0,3548.0,-845.0,86030.0,0.9202949438202247,0.0,0.06662570224719101,0.0,0.012728230337078652,0.0,13.25,1.3607979283707803,0.577988939606743,0.11125721533404084,0.00311147283919523,0.0025486148899889695,123.25286132552569,128.0,0.011235955056179775
13.0,11289.0,21.194305466283893,27.879027802414033,49.07333326869792,5319.0,3543.0,-846.0,86070.0,0.9226680839755514,0.0,0.061298609265656834,0.0,0.01594472495349455,0.0,12.79,1.3935255558508148,0.587635751616618,0.08950896901612611,0.0032886996642913944,0.002710914160034651,127.81598996145917,155.0,0.013730179821064753
14.0,12234.0,23.04152774810718,26.825555568271565,49.86708331637877,5701.0,3757.0,-845.0,86071.0,0.9283962726826875,0.0,0.06024194866764754,0.0,0.011198299820173287,0.0,16.0,1.4023017819192285,0.6088728134706545,0.11222529961431936,0.00316400954220761,0.0025963005002821176,113.38168316831683,117.0,0.009563511525257478
15.0,11613.0,23.2302777594993,30.901944458484163,54.13222221798349,5297.0,3551.0,-846.0,86113.0,0.9238784121243434,0.0,0.06044949625419788,0.0,0.015499870834409714,0.0,13.06,1.3845638508567835,0.6002006372169102,0.10340900266611447,0.0032202817519683268,0.002659785627536732,123.6074790794979,147.0,0.012658227848101266
16.0,11332.0,20.636111191908196,29.20749994251472,49.8436111344229,5163.0,3451.0,-845.0,86114.0,0.9215495940698906,0.0,0.06574302859159901,0.0,0.012530885986586656,0.0,12.64,1.372680903635713,0.5897793858100945,0.13709005254575105,0.003249417169209188,0.0026778548164861347,124.29323107107821,117.0,0.01032474408753971
