,mem_cpu_mean,mem_cpu_std
B,35.624288246367676,6.943488480971402
C,18.361038592511637,6.772898638840373
D,18.781573044640798,8.06638348311922
E,30.134053805718857,11.238166219673065
F,18.237506967760243,8.91876826226663
G,14.556516668240448,9.183872133415498
H,9.891881390418657,9.94965905700112
J,21.500876765617218,3.925869526274334
A,23.14772034406003,8.229947341637615
TOTAL,22.47806712892217,8.294760729035104
